locationId,id,typeOfProvider,providerName,address,suburb,state,postcode,lat,lng,geoData
133,1-1IKRYV,Long Day Care,Terranora Child Care Centre,2-14 Henry Lawson Drive,TERRANORA,NSW,2486,-28.23987,153.50169,0xE6100000010C764F1E166A3D3CC0F2D24D6210306340
134,1-1IMU20,Long Day Care,The Cubbyhouse @ Kings Langley,68 Isaac Smith Pde,KINGS LANGLEY,NSW,2147,-33.74511,150.92442,0xE6100000010CF31FD26F5FDF40C021B0726891DD6240
135,1-1L4ML8,Long Day Care,Holy Family Children's Centre - Long Day Care & Preschool,116-132 Quakers Rd,MARAYONG,NSW,2148,-33.74259,150.88645,0xE6100000010C3B014D840DDF40C03108AC1C5ADC6240
136,1-1LG2G2,Long Day Care,Twinklestar Childcare Granville,89 Good St,GRANVILLE,NSW,2142,-33.82869,151.01301,0xE6100000010CFC1873D712EA40C023DBF97E6AE06240
137,1-1LMSVD,Long Day Care,Kambala Early Learning Centre,794 New South Head Rd,ROSE BAY,NSW,2029,-33.86488,151.27188,0xE6100000010CBB270F0BB5EE40C062105839B4E86240
138,1-1LN6KP,Long Day Care,Partners In Care Early Learning Centre,2 St Stephen Rd,BLAIR ATHOL,NSW,2560,-34.05718,150.79827,0xE6100000010C65AA6054520741C0A8C64B3789D96240
139,1-P407Z2,Long Day Care,Bright Beginnings Forbes,9 Attlee Street,FORBES,NSW,2871,-33.37425,147.99583,0xE6100000010C4772F90FE9AF40C01D5A643BDF7F6240
140,1-1LWMGG,Long Day Care,The Tree House,133 Castlereagh St,SYDNEY,NSW,2000,-33.87159,151.20879,0xE6100000010CC898BB9690EF40C0A69BC420B0E66240
141,1-D6WU3G,Long Day Care,Goodstart Early Learning Kanahooka,1 Forest Grove Drive,KANAHOOKA,NSW,2530,-34.493,150.8182,0xE6100000010CC976BE9F1A3F41C01904560E2DDA6240
142,1-1NFUEO,Long Day Care,Burwood Montessori Academy,2 Comer Street,BURWOOD,NSW,2134,-33.8721,151.1037,0xE6100000010CBA6B09F9A0EF40C017D9CEF753E36240
143,1-631-3089,Long Day Care,Jack And Jill Kindergarten (Mona Vale),2 Dygal St,MONA VALE,NSW,2103,-33.6753,151.30053,0xE6100000010C917EFB3A70D640C01283C0CAA1E96240
